date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:04	4626/4626	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jan%202024%2008:17:25%20GMT	https://cdn-main.28tech.com.vn/media/core/icons/oop.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/core/icons/oop.png	(from https://28tech.com.vn/lap-trinh-c-co-ban-toi-nang-cao)
08:39:04	933383/933383	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Feb%202025%2014:29:49%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/new/c++%20tu%cc%9b%cc%80%20co%cc%9b%20ba%cc%89n%20to%cc%9b%cc%81i%20na%cc%82ng%20cao.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/new/c++%20tu%cc%9b%cc%80%20co%cc%9b%20ba%cc%89n%20to%cc%9b%cc%81i%20na%cc%82ng%20cao.png	(from https://28tech.com.vn/lap-trinh-c-co-ban-toi-nang-cao)
08:39:04	8404/8404	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Jan%202024%2007:46:15%20GMT	https://cdn-main.28tech.com.vn/media/core/icons/ui-ux.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/core/icons/ui-ux.png	(from https://28tech.com.vn/lap-trinh-c-co-ban-toi-nang-cao)
08:39:04	2583/2583	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jan%202024%2008:38:43%20GMT	https://cdn-main.28tech.com.vn/media/core/icons/algo.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/core/icons/algo.png	(from https://28tech.com.vn/lap-trinh-c-co-ban-toi-nang-cao)
08:39:04	9300/9300	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jan%202024%2009:12:25%20GMT	https://cdn-main.28tech.com.vn/media/core/icons/popular.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/core/icons/popular.png	(from https://28tech.com.vn/lap-trinh-c-co-ban-toi-nang-cao)
08:39:04	813863/813863	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202024%2017:10:29%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/lo_trinh_khoa_hoc/l%e1%bb%99%20tr%c3%acnh%20c++%20c%c6%a1%20b%e1%ba%a3n%20t%e1%bb%9bi%20n%c3%a2ng%20cao%202024.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/lo_trinh_khoa_hoc/l%e1%bb%99%20tr%c3%acnh%20c++%20c%c6%a1%20b%e1%ba%a3n%20t%e1%bb%9bi%20n%c3%a2ng%20cao%202024.png	(from https://28tech.com.vn/lap-trinh-c-co-ban-toi-nang-cao)
08:39:04	6312/6312	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jan%202024%2017:27:24%20GMT	https://cdn-main.28tech.com.vn/media/core/icons/web.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/core/icons/web.png	(from https://28tech.com.vn/lap-trinh-c-co-ban-toi-nang-cao)
08:39:09	910722/910722	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Feb%202025%2014:29:47%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/new/c++%20na%cc%82ng%20cao.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/new/c++%20na%cc%82ng%20cao.png	(from https://28tech.com.vn/lap-trinh-c-nang-cao)
08:39:09	828788/828788	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202024%2017:10:25%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/lo_trinh_khoa_hoc/l%e1%bb%99%20tr%c3%acnh%20c++%20n%c3%a2ng%20cao%202024.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/lo_trinh_khoa_hoc/l%e1%bb%99%20tr%c3%acnh%20c++%20n%c3%a2ng%20cao%202024.png	(from https://28tech.com.vn/lap-trinh-c-nang-cao)
08:39:09	907368/907368	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Feb%202025%2014:29:49%20GMT	https://cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/new/ca%cc%82%cc%81u%20tru%cc%81c%20du%cc%9b%cc%83%20lie%cc%a3%cc%82u%20va%cc%80%20gia%cc%89i%20thua%cc%a3%cc%82t.png	D:/Videos/28-Tech/cdn-main.28tech.com.vn/media/anh-khoa-hoc/anh_dai_dien_khoa_hoc/new/ca%cc%82%cc%81u%20tru%cc%81c%20du%cc%9b%cc%83%20lie%cc%a3%cc%82u%20va%cc%80%20gia%cc%89i%20thua%cc%a3%cc%82t.png	(from https://28tech.com.vn/cau-truc-du-lieu-va-giai-thuat)
